Injected_Bus,Injected_Phase,Bus_Load,Estimated_MAI,PF_MAI,Estimation_Error,Load_Limited_Estimated_MAI,Load_Limited_PF_MAI
0,1,704.3614,39,39,0.0,39,39
0,2,704.3614,700,745,6.0428,700,745
1,0,704.3614,39,39,0.0,39,39
1,2,704.3614,39,41,4.8208,39,41
2,0,704.3614,700,745,6.0428,700,745
2,1,704.3614,39,41,4.8208,39,41
0,1,42.0476,28,28,0.0,28,28
1,0,42.0476,28,28,0.0,28,28
1,2,179.7804,26,30,13.2692,26,30
2,1,179.7804,26,30,13.2692,26,30
0,1,140.8723,21,21,0.0,21,21
0,2,140.8723,630,704,10.5089,211,211
1,0,140.8723,21,21,0.0,21,21
1,2,140.8723,21,25,16.2105,21,25
2,0,140.8723,630,704,10.5089,211,211
2,1,140.8723,21,25,16.2105,21,25
0,1,102.8834,28,28,0.0,28,28
1,0,102.8834,28,28,0.0,28,28
