Injected_Bus,Injected_Phase,Penetration_Scenario,Affected_Bus,Affected_Phase,Active_Sensitivity,Reactive_Sensitivity,V0,V_PF,V_TJSM,Error_Percent_V_TJSM
1,0,0.5,1,0,2.9817,9.6527,1.0396,1.0453,1.0453,0.0040799039
1,0,0.5,1,1,0.0026,0.0016,1.0475,1.0475,1.0475,2.4473e-06
1,0,0.5,1,2,-0.0011,-0.0071,1.0111,1.0111,1.0111,-4.1137e-06
1,0,0.5,2,0,2.9933,9.7408,1.0319,1.0376,1.0376,0.0041717551
1,0,0.5,2,1,0.0259,0.0018,1.0436,1.0436,1.0436,1.71336e-05
1,0,0.5,2,2,-0.0109,-0.0281,1.002,1.002,1.002,-2.12947e-05
1,0,0.5,3,0,3.0071,9.8406,1.0222,1.028,1.028,0.0042811417
1,0,0.5,3,1,0.0521,0.0022,1.0428,1.0428,1.0428,3.37603e-05
1,0,0.5,3,2,-0.022,-0.0521,0.9948,0.9947,0.9947,-4.11959e-05
1,0,0.5,4,0,3.0127,9.7722,1.0307,1.0364,1.0364,0.0042060235
1,0,0.5,4,1,0.0341,-0.0055,1.0368,1.0368,1.0368,1.92462e-05
1,0,0.5,4,2,-0.0211,-0.033,0.9993,0.9993,0.9993,-3.0571e-05
1,0,0.5,5,0,2.994,9.7426,1.0321,1.0379,1.0379,0.0041725094
1,0,0.5,5,1,0.0263,0.0015,1.0419,1.0419,1.0419,1.72905e-05
1,0,0.5,5,2,-0.0113,-0.0284,1.0003,1.0003,1.0003,-2.17523e-05
1,0,0.5,6,0,3.0249,9.7699,1.0326,1.0384,1.0384,0.0042031318
1,0,0.5,6,1,0.0343,-0.0054,1.0295,1.0295,1.0295,1.99229e-05
1,0,0.5,6,2,-0.0212,-0.0331,0.9974,0.9973,0.9973,-3.08578e-05
1,0,0.5,7,0,3.0402,9.7671,1.0338,1.0396,1.0396,0.0042036786
1,0,0.5,7,1,0.0346,-0.0055,1.0206,1.0206,1.0206,2.04744e-05
1,0,0.5,7,2,-0.0213,-0.033,0.9975,0.9975,0.9975,-3.10045e-05
1,0,0.5,8,0,3.0259,10.0068,1.0091,1.015,1.015,0.004456433
1,0,0.5,8,1,0.0892,-0.0308,1.0442,1.0442,1.0442,4.10016e-05
1,0,0.5,8,2,-0.0694,-0.0796,0.983,0.983,0.983,-8.79662e-05
1,0,0.5,9,0,3.021,9.9592,1.0131,1.0189,1.0189,0.0044052795
1,0,0.5,9,1,0.0787,-0.0213,1.0431,1.0432,1.0432,3.89402e-05
1,0,0.5,9,2,-0.0559,-0.0717,0.9859,0.9859,0.9859,-7.44947e-05
1,0,0.5,10,0,3.0354,10.1185,1.0005,1.0064,1.0064,0.0045753112
1,0,0.5,10,1,0.114,-0.0526,1.0454,1.0454,1.0454,4.62206e-05
1,0,0.5,10,2,-0.1012,-0.0984,0.9737,0.9736,0.9736,-0.0001206408
1,0,0.5,11,0,3.0457,10.2129,0.992,0.998,0.998,0.0046825144
1,0,0.5,11,1,0.1345,-0.0712,1.0493,1.0493,1.0493,5.00732e-05
1,0,0.5,11,2,-0.1276,-0.1144,0.9705,0.9704,0.9704,-0.0001477229
1,0,0.5,12,0,2.9917,9.743,1.0323,1.038,1.038,0.0041714386
1,0,0.5,12,1,0.0263,0.0015,1.0421,1.0421,1.0421,1.72839e-05
1,0,0.5,12,2,-0.0114,-0.0284,0.9991,0.999,0.999,-2.18007e-05
1,0,0.5,13,0,2.9993,9.754,1.0315,1.0372,1.0372,0.0041849665
1,0,0.5,13,1,0.0292,-0.0012,1.0409,1.0409,1.0409,1.79861e-05
1,0,0.5,13,2,-0.0151,-0.0302,1.0002,1.0002,1.0002,-2.51214e-05
1,0,0.5,14,0,3.0143,9.7767,1.0302,1.0359,1.036,0.0042114348
1,0,0.5,14,1,0.0348,-0.0063,1.0367,1.0368,1.0368,1.93368e-05
1,0,0.5,14,2,-0.0221,-0.0335,0.9994,0.9993,0.9993,-3.14507e-05
1,0,0.5,15,0,3.022,9.8016,1.0276,1.0333,1.0334,0.0042407739
1,0,0.5,15,1,0.0387,-0.0107,1.0371,1.0371,1.0371,1.97536e-05
1,0,0.5,15,2,-0.0278,-0.0356,0.9997,0.9997,0.9997,-3.61892e-05
1,0,0.5,16,0,3.0223,9.7704,1.0324,1.0382,1.0382,0.004203025
1,0,0.5,16,1,0.0343,-0.0054,1.0305,1.0305,1.0305,1.98311e-05
1,0,0.5,16,2,-0.0212,-0.0331,0.9972,0.9972,0.9972,-3.0844e-05
1,0,0.5,17,0,3.0419,9.7667,1.034,1.0397,1.0398,0.004203708
1,0,0.5,17,1,0.0347,-0.0055,1.0196,1.0196,1.0196,2.05398e-05
1,0,0.5,17,2,-0.0213,-0.033,0.9975,0.9975,0.9975,-3.1022e-05
1,0,0.5,18,0,3.044,9.7663,1.0341,1.0398,1.0399,0.0042039862
1,0,0.5,18,1,0.0347,-0.0055,1.0187,1.0187,1.0187,2.05999e-05
1,0,0.5,18,2,-0.0213,-0.033,0.9978,0.9977,0.9977,-3.10235e-05
1,0,0.5,19,0,3.0263,9.7696,1.0327,1.0385,1.0385,0.0042032523
1,0,0.5,19,1,0.0344,-0.0054,1.0288,1.0288,1.0288,1.99687e-05
1,0,0.5,19,2,-0.0213,-0.0331,0.9975,0.9974,0.9974,-3.08654e-05
1,0,0.5,20,0,3.0113,9.8584,1.0206,1.0264,1.0264,0.004301102
1,0,0.5,20,1,0.055,-0.0008,1.0426,1.0426,1.0426,3.42063e-05
1,0,0.5,20,2,-0.026,-0.0539,0.9938,0.9938,0.9938,-4.47251e-05
1,0,0.5,21,0,3.0169,9.8768,1.0189,1.0247,1.0248,0.0043221754
1,0,0.5,21,1,0.0591,-0.0045,1.0421,1.0421,1.0421,3.50743e-05
